****************************************************************************************
Output generated by CrystalDiffract(R) for Windows 6.5.3
Copyright © 1994-2015 CrystalMaker Software Ltd <http://www.crystalmaker.com>

(This file looks best when viewed using a non-proportional font such as Courier New.)
****************************************************************************************

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp
  1   4   1   0.88745  120.4471  5.73831e-002    0.1%   8    18     0.840
  3   3   4   0.88401  121.2322  3.53899e+000    7.1%   8    34     0.851
  3   0   7   0.88239  121.6057  1.40435e-001    0.3%   4    58     0.857
  4   2   5   0.88123  121.8775  1.90058e-001    0.4%   8    45     0.861
  4   1   6   0.88069  122.0027  6.66079e-001    1.3%   8    53     0.863
  6   1   3   0.87774  122.7020  1.00623e-003    0.0%   8    46     0.875
  0   4   2   0.87576  123.1769  2.30308e-001    0.5%   4    20     0.883
  3   2   6   0.87133  124.2642  7.29489e-004    0.0%   8    49     0.901
  5   1   5   0.87129  124.2756  4.75268e-002    0.1%   8    51     0.901
  2   3   5   0.86888  124.8784  3.25883e+000    6.5%   8    38     0.912
  1   4   2   0.86628  125.5410  1.62148e-002    0.0%   8    21     0.925
  4   3   3   0.86581  125.6613  1.31129e+000    2.6%   8    34     0.927
  2   4   0   0.86552  125.7377  3.42256e-002    0.1%   4    20     0.928
  6   2   0   0.86442  126.0230  1.18435e-001    0.2%   4    40     0.934
  0   0   8   0.86384  126.1745  3.69687e-002    0.1%   2    64     0.937
  2   4   1   0.85881  127.5116  1.72544e-003    0.0%   8    21     0.963
  5   2   4   0.85825  127.6629  2.52129e+000    5.1%   8    45     0.966
  6   2   1   0.85773  127.8037  2.03979e+000    4.1%   8    41     0.969
  1   2   7   0.85758  127.8467  2.73888e+000    5.5%   8    54     0.970
  3   1   7   0.85731  127.9199  5.30115e-002    0.1%   8    59     0.972
  6   0   4   0.85489  128.5878  1.06377e-001    0.2%   4    52     0.986
  1   0   8   0.85473  128.6312  1.15620e-001    0.2%   4    65     0.987
  2   4   2   0.83958  133.1150  1.72770e-001    0.3%   8    24     1.095
  6   2   2   0.83858  133.4326  3.36977e-001    0.7%   8    44     1.104
  5   3   1   0.83777  133.6895  6.87966e+000   13.8%   8    35     1.111
  7   0   1   0.83702  133.9298  8.35713e-001    1.7%   4    50     1.118
  1   4   3   0.83413  134.8719  4.45193e+000    8.9%   8    26     1.144
  6   1   4   0.83202  135.5779  2.73485e+000    5.5%   8    53     1.165
  1   1   8   0.83187  135.6264  5.20001e+000   10.4%   8    66     1.167
  2   2   7   0.83165  135.7031  1.85586e+000    3.7%   8    57     1.169
  2   0   8   0.82905  136.5925  2.12822e-003    0.0%   4    68     1.196
  3   3   5   0.82532  137.9136  4.48851e-004    0.0%   8    43     1.240
  1   3   6   0.82512  137.9860  1.39161e-001    0.3%   8    46     1.242
  5   0   6   0.82441  138.2457  1.32815e+000    2.7%   4    61     1.251
  4   3   4   0.82184  139.1939  1.02485e+000    2.1%   8    41     1.284
  4   0   7   0.82054  139.6841  3.55752e-001    0.7%   4    65     1.302
  5   3   2   0.81989  139.9330  2.49033e-001    0.5%   8    38     1.311
  7   0   2   0.81919  140.2032  1.88327e+000    3.8%   4    53     1.321
  3   4   1   0.81667  141.1893  5.04271e+000   10.1%   8    26     1.359
  7   1   1   0.81552  141.6528  7.19221e-001    1.4%   8    51     1.378
  4   2   6   0.81163  143.2667  3.64135e+000    7.3%   8    56     1.447
  2   4   3   0.81022  143.8721  1.54454e+000    3.1%   8    29     1.474
  6   2   3   0.80931  144.2662  2.91289e+000    5.8%   8    49     1.492
  2   1   8   0.80815  144.7831  1.18592e+000    2.4%   8    69     1.517
  5   2   5   0.80425  146.5787  3.89456e-002    0.1%   8    54     1.608
  5   1   6   0.80384  146.7721  1.92471e+000    3.9%   8    62     1.618
